From File,To File,References,From Entities,To Entities
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ForceEjectUserCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ForceEjectUserCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserJoinedEvent.java",3,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",7,4,5
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMember.java",9,2,8
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/XMLResponseConferenceListParser.java",6,2,4
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java",3,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetUsersStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetUsersStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfMember.java",3,1,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetUsersStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfRecording.java",3,1,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetUsersStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUsersStatusEvent.java",2,1,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetUsersStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",7,4,5
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetUsersStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMember.java",14,2,10
